Name,Population,Yearly_Change,Net_Change,Density,Land_Area,Median_Age,Urban_Pop
Tunisia,"12,415,138",0.54%,"66,565",80,"155,360",33.4,72.2%
Haiti,"12,037,506",1.1%,"131,411",437,"27,560",24.3,62.4%
Belgium,"11,774,642",0.14%,"16,039",389,"30,280",42.1,99%
Dominican Republic,"11,609,500",0.77%,"89,013",240,"48,320",28.7,86.9%
Jordan,"11,589,532",0.6%,"68,848",131,"88,780",24.9,85.4%
United Arab Emirates,"11,574,682",2.02%,"228,682",138,"83,600",31.6,80.7%
Honduras,"11,184,760",1.63%,"178,910",100,"111,890",24.6,58.8%
Tajikistan,"10,978,599",1.78%,"191,865",78,"139,960",22.4,28%
Papua New Guinea,"10,947,848",1.72%,"185,031",24,"452,860",23,12.7%
Cuba,"10,892,659",−0.41%,"−44,544",102,"106,440",42.5,82.4%
Sweden,"10,701,047",0.42%,"44,414",26,"410,340",40.4,87.7%
Czech Republic (Czechia),"10,527,781",−0.77%,"−81,458",136,"77,240",44.3,75.7%
Azerbaijan,"10,454,855",0.55%,"57,142",126,"82,658",34.1,59.1%
Portugal,"10,395,362",−0.16%,"−16,472",113,"91,590",47.2,66.9%
Togo,"9,930,918",2.15%,"209,310",183,"54,390",19.2,44.8%
Greece,"9,897,115",−0.42%,"−41,729",77,"128,900",47.1,90%
Israel,"9,647,689",1.37%,"130,508",446,"21,640",29.3,91.5%
Hungary,"9,585,818",−0.48%,"−46,469",106,"90,530",44.2,72.4%
Austria,"9,107,266",−0.07%,"−6,308",111,"82,409",43.9,59%
Switzerland,"9,007,798",0.45%,"40,391",228,"39,516",43.2,74.6%
Sierra Leone,"8,996,745",2.01%,"176,951",125,"72,180",19.9,46%
Belarus,"8,937,018",−0.67%,"−60,585",44,"202,910",41.8,85.1%
Laos,"7,974,017",1.28%,"100,971",35,"230,800",25.3,38.9%
Turkmenistan,"7,736,632",1.55%,"117,785",16,"469,930",27.3,46.7%
Libya,"7,539,851",1.09%,"81,296",4,"1,759,540",28,77.7%
Kyrgyzstan,"7,400,465",1.45%,"105,431",39,"191,800",25.5,35.5%
Hong Kong,"7,378,602",−0.24%,"−17,474","7,027","1,050",47.9,–
Nicaragua,"7,097,329",1.28%,"89,827",59,"120,340",26.3,58.2%
Paraguay,"7,095,279",1.17%,"82,201",18,"397,300",27.3,68.3%
Bulgaria,"6,667,659",−0.7%,"−46,901",61,"108,560",45,77.4%
Serbia,"6,641,964",−0.7%,"−47,075",76,"87,460",44.7,74.2%
Congo,"6,637,785",2.36%,"153,348",19,"341,500",18.7,70.3%
El Salvador,"6,391,253",0.4%,"25,750",308,"20,720",28.4,80.5%
Denmark,"6,023,520",0.35%,"21,013",142,"42,430",41.3,87.6%
Singapore,"5,905,748",0.6%,"34,998","8,437",700,36.8,–
Lebanon,"5,897,467",0.82%,"48,046",576,"10,230",29,84.4%
Liberia,"5,853,949",2.14%,"122,743",61,"96,320",19,55.7%
